run_id,topic,samples,valid_samples,first_s,last_s,missing_channels
commander_nav_state_override__2018-12-19__07_49_17__baseline,actuator_controls_0,852,852,1.214233,87.551821,
commander_nav_state_override__2018-12-19__07_49_17__baseline,actuator_outputs,852,852,1.208649,87.53781,
commander_nav_state_override__2018-12-19__07_49_17__baseline,battery_status,147,147,0.926413,87.191239,
commander_nav_state_override__2018-12-19__07_49_17__baseline,cpuload,78,78,0.676578,87.210877,
commander_nav_state_override__2018-12-19__07_49_17__baseline,distance_sensor,1407,1407,1.207799,87.504964,
commander_nav_state_override__2018-12-19__07_49_17__baseline,ekf2_innovations,360,360,1.242494,87.516131,
commander_nav_state_override__2018-12-19__07_49_17__baseline,estimator_status,347,347,0.63846,87.520152,
commander_nav_state_override__2018-12-19__07_49_17__baseline,manual_control_setpoint,426,426,1.275496,87.53705,
commander_nav_state_override__2018-12-19__07_49_17__baseline,rate_ctrl_status,2723,2723,1.298199,87.551845,
commander_nav_state_override__2018-12-19__07_49_17__baseline,sensor_combined,17934,17934,1.302007,87.551649,
commander_nav_state_override__2018-12-19__07_49_17__baseline,sensor_preflight,6,5,86.55574,87.364909,
commander_nav_state_override__2018-12-19__07_49_17__baseline,system_power,148,148,0.934138,87.184126,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_air_data,4803,4803,1.427228,87.530134,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_attitude,2722,2722,1.322557,87.552198,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_attitude_setpoint,851,851,1.32348,87.552919,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_land_detected,70,70,0.479364,86.557042,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_local_position,731,731,1.146853,87.552198,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_magnetometer,7039,7039,1.426059,87.544445,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_rates_setpoint,2721,2721,1.346177,87.551793,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_status,111,110,0.000117,103.631246,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_status_flags,183,181,0.000122,103.63125,
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_vision_position,688,688,1.267443,87.452129,
commander_nav_state_override__2018-12-19__07_49_17__fault,actuator_controls_0,852,852,1.218182,87.551821,
commander_nav_state_override__2018-12-19__07_49_17__fault,actuator_outputs,852,852,1.208649,87.53781,
commander_nav_state_override__2018-12-19__07_49_17__fault,battery_status,147,147,0.926413,87.191239,
commander_nav_state_override__2018-12-19__07_49_17__fault,cpuload,78,78,0.676578,87.210877,
commander_nav_state_override__2018-12-19__07_49_17__fault,distance_sensor,1407,1407,1.207799,87.504964,
commander_nav_state_override__2018-12-19__07_49_17__fault,ekf2_innovations,360,360,1.242494,87.516131,
commander_nav_state_override__2018-12-19__07_49_17__fault,estimator_status,347,347,0.63846,87.520152,
commander_nav_state_override__2018-12-19__07_49_17__fault,manual_control_setpoint,426,426,1.275496,87.53705,
commander_nav_state_override__2018-12-19__07_49_17__fault,rate_ctrl_status,2724,2724,1.298199,87.551845,
commander_nav_state_override__2018-12-19__07_49_17__fault,sensor_combined,17876,17876,1.306013,87.551649,
commander_nav_state_override__2018-12-19__07_49_17__fault,sensor_preflight,6,5,86.55574,87.364909,
commander_nav_state_override__2018-12-19__07_49_17__fault,system_power,148,148,0.934138,87.184126,
commander_nav_state_override__2018-12-19__07_49_17__fault,vehicle_air_data,4803,4803,1.427228,87.530134,
commander_nav_state_override__2018-12-19__07_49_17__fault,vehicle_attitude,2722,2722,1.322557,87.552198,
commander_nav_state_override__2018-12-19__07_49_17__fault,vehicle_attitude_setpoint,851,851,1.326934,87.552919,
commander_nav_state_override__2018-12-19__07_49_17__fault,vehicle_land_detected,70,70,0.479364,86.557042,
commander_nav_state_override__2018-12-19__07_49_17__fault,vehicle_local_position,731,731,1.146853,87.552198,
commander_nav_state_override__2018-12-19__07_49_17__fault,vehicle_magnetometer,7040,7040,1.426059,87.544445,
commander_nav_state_override__2018-12-19__07_49_17__fault,vehicle_rates_setpoint,2721,2721,1.354196,87.551793,
commander_nav_state_override__2018-12-19__07_49_17__fault,vehicle_status,7715,7714,0.010104,107.785241,
commander_nav_state_override__2018-12-19__07_49_17__fault,vehicle_status_flags,7770,7769,2e-06,107.785246,
commander_nav_state_override__2018-12-19__07_49_17__fault,vehicle_vision_position,688,688,1.267443,87.452129,
commander_nav_state_override__2018-12-20__07_47_50__baseline,actuator_controls_0,1205,1205,1.225155,123.425958,
commander_nav_state_override__2018-12-20__07_47_50__baseline,actuator_outputs,1205,1205,1.211137,123.420237,
commander_nav_state_override__2018-12-20__07_47_50__baseline,battery_status,229,229,0.816465,123.142201,
commander_nav_state_override__2018-12-20__07_47_50__baseline,cpuload,118,118,0.579158,123.133089,
commander_nav_state_override__2018-12-20__07_47_50__baseline,distance_sensor,2206,2206,1.248342,123.41081,
