method,pair_id,run_id,source_log,condition,mutation_id,threshold,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,ground_truth_rank,top1,top3,top5,mrr
paired_residual,normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,commander_nav_state_override,3.0,True,True,False,57.694156,27.694156,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,commander_nav_state_override,3.0,True,True,False,57.694156,27.694156,,0.0,0.0,0.0,0.0
paired_residual,normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,ekf2_innovation_bias,3.0,True,True,True,25.623759,0.4237589999999969,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,ekf2_innovation_bias,3.0,True,True,True,25.623759,0.4237589999999969,,0.0,0.0,0.0,0.0
paired_residual,normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,inav_local_z_freeze,3.0,True,True,False,67.29189600000001,37.29189600000001,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,inav_local_z_freeze,3.0,True,True,False,67.29189600000001,37.29189600000001,,0.0,0.0,0.0,0.0
paired_residual,normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,land_detector_state_inversion,3.0,True,True,False,67.299842,37.299842,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,land_detector_state_inversion,3.0,True,True,False,67.299842,37.299842,,0.0,0.0,0.0,0.0
paired_residual,fault:commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,commander_nav_state_override,3.0,True,True,False,32.021462,2.0214619999999996,1.0,1.0,1.0,1.0,1.0
residual_gate_original_shap,fault:commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,commander_nav_state_override,3.0,True,True,False,32.021462,2.0214619999999996,2.0,0.0,1.0,1.0,0.5
