group,run_id,feature,sustained_max,noise
reference,commander_nav_state_override__2018-12-19__07_49_17__fault,q25__vehicle_status.nav_state,65.4560375213623,0.05
reference,commander_nav_state_override__2018-12-19__07_49_17__fault,q90__vehicle_status.nav_state,65.4560375213623,0.05
reference,commander_nav_state_override__2018-12-19__07_49_17__fault,min__vehicle_status.nav_state,65.4560375213623,0.05
reference,commander_nav_state_override__2018-12-19__07_49_17__fault,end__vehicle_status.nav_state,65.4560375213623,0.05
reference,commander_nav_state_override__2018-12-19__07_49_17__fault,max__vehicle_status.nav_state,65.4560375213623,0.05
reference,commander_nav_state_override__2018-12-20__07_47_50__fault,range__vehicle_attitude.pitchspeed,75.37318229675293,0.05
reference,commander_nav_state_override__2018-12-20__07_47_50__fault,diff_abs_max__vehicle_attitude.pitchspeed,69.08841133117676,0.05
reference,commander_nav_state_override__2018-12-20__07_47_50__fault,max__vehicle_attitude.pitchspeed,67.53515720367432,0.05
reference,commander_nav_state_override__2018-12-20__07_47_50__fault,end__vehicle_status.nav_state,65.4560375213623,0.05
reference,commander_nav_state_override__2018-12-20__07_47_50__fault,q25__vehicle_status.nav_state,65.4560375213623,0.05
reference,commander_nav_state_override__2018-12-25__08_44_40__fault,min__vehicle_attitude.yawspeed,79.52595233917236,0.05
reference,commander_nav_state_override__2018-12-25__08_44_40__fault,range__vehicle_attitude.yawspeed,73.6284065246582,0.05
reference,commander_nav_state_override__2018-12-25__08_44_40__fault,q90__vehicle_status.nav_state,65.4560375213623,0.05
reference,commander_nav_state_override__2018-12-25__08_44_40__fault,q10__vehicle_status.nav_state,65.4560375213623,0.05
reference,commander_nav_state_override__2018-12-25__08_44_40__fault,q75__vehicle_status.nav_state,65.4560375213623,0.05
reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,max__estimator_status.pos_test_ratio,738.084282875061,0.05
reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,range__estimator_status.pos_test_ratio,737.4226236343384,0.05
reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,diff_abs_max__estimator_status.pos_test_ratio,426.4530920982361,0.05
reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,endpoint_delta__estimator_status.mag_test_ratio,185.76351881027222,0.05
reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,end__estimator_status.mag_test_ratio,184.9719473719597,0.05
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,endpoint_delta__estimator_status.mag_test_ratio,879.5560073852539,0.05
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,end__estimator_status.mag_test_ratio,575.8447170257568,0.05
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,start__estimator_status.mag_test_ratio,558.6654877662659,0.05
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,q25__estimator_status.mag_test_ratio,517.7119541168213,0.05
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,q10__estimator_status.mag_test_ratio,514.0418457984924,0.05
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,range__estimator_status.mag_test_ratio,226.73702062759057,0.0916055291891098
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,max__estimator_status.mag_test_ratio,226.5500852352755,0.0916055254638195
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,diff_abs_max__estimator_status.mag_test_ratio,207.50380825137316,0.05370207130908966
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,range__vehicle_local_position.az,117.53620147705078,0.05
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,min__vehicle_local_position.az,91.27050161361694,0.05
