run_id,topic,field,normal_samples,reference_samples,common_timestamps,common_value_exact_fraction,common_max_absolute_delta,normal_max_gap_ms,reference_max_gap_ms
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_attitude,rollspeed,2723,2722,1759,1.0,0.0,195.804,76.075
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_attitude,pitchspeed,2723,2722,1759,1.0,0.0,195.804,76.075
commander_nav_state_override__2018-12-19__07_49_17__baseline,vehicle_attitude,yawspeed,2723,2722,1759,1.0,0.0,195.804,76.075
commander_nav_state_override__2018-12-19__07_49_17__baseline,sensor_combined,gyro_rad[0],17838,17934,17725,1.0,0.0,99.97,76.029
commander_nav_state_override__2018-12-19__07_49_17__baseline,sensor_combined,accelerometer_m_s2[0],17838,17934,17725,1.0,0.0,99.97,76.029
commander_nav_state_override__2018-12-20__07_47_50__baseline,vehicle_attitude,rollspeed,3843,3843,3543,1.0,0.0,127.894,127.894
commander_nav_state_override__2018-12-20__07_47_50__baseline,vehicle_attitude,pitchspeed,3843,3843,3543,1.0,0.0,127.894,127.894
commander_nav_state_override__2018-12-20__07_47_50__baseline,vehicle_attitude,yawspeed,3843,3843,3543,1.0,0.0,127.894,127.894
commander_nav_state_override__2018-12-20__07_47_50__baseline,sensor_combined,gyro_rad[0],28379,28332,28279,1.0,0.0,128.03,128.03
commander_nav_state_override__2018-12-20__07_47_50__baseline,sensor_combined,accelerometer_m_s2[0],28379,28332,28279,1.0,0.0,128.03,128.03
commander_nav_state_override__2018-12-25__08_44_40__baseline,vehicle_attitude,rollspeed,4356,4352,2917,1.0,0.0,205.426,248.749
commander_nav_state_override__2018-12-25__08_44_40__baseline,vehicle_attitude,pitchspeed,4356,4352,2917,1.0,0.0,205.426,248.749
commander_nav_state_override__2018-12-25__08_44_40__baseline,vehicle_attitude,yawspeed,4356,4352,2917,1.0,0.0,205.426,248.749
commander_nav_state_override__2018-12-25__08_44_40__baseline,sensor_combined,gyro_rad[0],31745,31649,31541,1.0,0.0,151.954,151.954
commander_nav_state_override__2018-12-25__08_44_40__baseline,sensor_combined,accelerometer_m_s2[0],31745,31649,31541,1.0,0.0,151.954,151.954
ekf2_innovation_bias__2018-12-19__07_49_17__baseline,vehicle_attitude,rollspeed,2681,2722,1821,0.9989017023613399,0.004877874627709389,76.075,76.075
ekf2_innovation_bias__2018-12-19__07_49_17__baseline,vehicle_attitude,pitchspeed,2681,2722,1821,0.9989017023613399,0.001598212867975235,76.075,76.075
ekf2_innovation_bias__2018-12-19__07_49_17__baseline,vehicle_attitude,yawspeed,2681,2722,1821,0.9989017023613399,0.12543906271457672,76.075,76.075
ekf2_innovation_bias__2018-12-19__07_49_17__baseline,sensor_combined,gyro_rad[0],17542,17955,17476,1.0,0.0,76.029,76.029
ekf2_innovation_bias__2018-12-19__07_49_17__baseline,sensor_combined,accelerometer_m_s2[0],17542,17955,17476,1.0,0.0,76.029,76.029
ekf2_innovation_bias__2018-12-20__07_47_50__baseline,vehicle_attitude,rollspeed,3842,3844,3250,0.9978461538461538,0.023216307163238525,127.894,127.894
