method,pair_id,run_id,source_log,condition,mutation_id,threshold,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,ground_truth_rank,top1,top3,top5,mrr
paired_residual,normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,commander_nav_state_override,86.45513534545898,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,commander_nav_state_override,86.45513534545898,False,False,False,,,,0.0,0.0,0.0,0.0
paired_residual,normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,ekf2_innovation_bias,86.45513534545898,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,ekf2_innovation_bias,86.45513534545898,False,False,False,,,,0.0,0.0,0.0,0.0
paired_residual,normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,inav_local_z_freeze,86.45513534545898,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:inav_local_z_freeze__2019-01-18__08_39_38__baseline,inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,inav_local_z_freeze,86.45513534545898,False,False,False,,,,0.0,0.0,0.0,0.0
paired_residual,normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,land_detector_state_inversion,86.45513534545898,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:land_detector_state_inversion__2019-01-18__08_39_38__baseline,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,normal,land_detector_state_inversion,86.45513534545898,False,False,False,,,,0.0,0.0,0.0,0.0
paired_residual,fault:commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,commander_nav_state_override,86.45513534545898,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,fault:commander_nav_state_override__2019-01-18__08_39_38__fault,commander_nav_state_override__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,commander_nav_state_override,86.45513534545898,False,False,False,,,,0.0,0.0,0.0,0.0
paired_residual,fault:ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,ekf2_innovation_bias,86.45513534545898,True,True,False,32.8,2.799999999999997,4.0,0.0,0.0,1.0,0.25
residual_gate_original_shap,fault:ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,ekf2_innovation_bias,86.45513534545898,True,True,False,32.8,2.799999999999997,1.0,1.0,1.0,1.0,1.0
paired_residual,fault:inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,inav_local_z_freeze,86.45513534545898,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,fault:inav_local_z_freeze__2019-01-18__08_39_38__fault,inav_local_z_freeze__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,inav_local_z_freeze,86.45513534545898,False,False,False,,,,0.0,0.0,0.0,0.0
paired_residual,fault:land_detector_state_inversion__2019-01-18__08_39_38__fault,land_detector_state_inversion__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,land_detector_state_inversion,86.45513534545898,True,True,False,32.0,2.0,2.0,0.0,1.0,1.0,0.5
residual_gate_original_shap,fault:land_detector_state_inversion__2019-01-18__08_39_38__fault,land_detector_state_inversion__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,land_detector_state_inversion,86.45513534545898,True,True,False,32.0,2.0,20.0,0.0,0.0,0.0,0.05
paired_residual,normal:commander_nav_state_override__2019-01-25__17_38_05__baseline,commander_nav_state_override__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,commander_nav_state_override,41.130924224853516,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:commander_nav_state_override__2019-01-25__17_38_05__baseline,commander_nav_state_override__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,commander_nav_state_override,41.130924224853516,False,False,False,,,,0.0,0.0,0.0,0.0
paired_residual,normal:ekf2_innovation_bias__2019-01-25__17_38_05__baseline,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,ekf2_innovation_bias,41.130924224853516,True,False,True,12.8,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:ekf2_innovation_bias__2019-01-25__17_38_05__baseline,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,ekf2_innovation_bias,41.130924224853516,True,False,True,12.8,,,0.0,0.0,0.0,0.0
paired_residual,normal:inav_local_z_freeze__2019-01-25__17_38_05__baseline,inav_local_z_freeze__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,inav_local_z_freeze,41.130924224853516,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:inav_local_z_freeze__2019-01-25__17_38_05__baseline,inav_local_z_freeze__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,inav_local_z_freeze,41.130924224853516,False,False,False,,,,0.0,0.0,0.0,0.0
paired_residual,normal:land_detector_state_inversion__2019-01-25__17_38_05__baseline,land_detector_state_inversion__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,land_detector_state_inversion,41.130924224853516,False,False,False,,,,0.0,0.0,0.0,0.0
