channel,stage1_gain,stage2_gain
actuator_controls_0.control[0],0.005297067080964205,0.0007183516846015947
actuator_controls_0.control[1],0.0036724964110474464,0.14095683660052796
actuator_controls_0.control[2],0.003495192097093377,0.0070357952372898545
actuator_controls_0.control[3],0.022682072307486086,0.12758603839892702
actuator_outputs.output[0],0.003983412739499232,0.003849592418405164
actuator_outputs.output[1],0.00374239104030947,0.0021406195517937824
actuator_outputs.output[2],0.009675024451657016,0.024083988875122586
actuator_outputs.output[3],0.006020170066999185,0.003195118676568363
actuator_outputs.output[4],0.0072639487408008956,0.0008184049986638498
actuator_outputs.output[5],0.004220079266683036,0.006414488751951423
actuator_outputs.output[6],0.0038652366401200917,0.0015410453702285444
actuator_outputs.output[7],0.004892604545627808,0.001528867772968033
battery_status.current_a,0.004337196993447799,0.010568004086259639
battery_status.current_filtered_a,0.006354613650152548,0.005184792413074349
battery_status.discharged_mah,0.008356505415750714,0.002941812042050193
battery_status.remaining,0.009573659080742468,0.0015451945845043331
battery_status.voltage_filtered_v,0.002032462993609595,0.0004679128657197697
battery_status.voltage_v,0.003083720951897546,0.00456148271059531
cpuload.load,0.028783292752309137,0.0021004118265321196
cpuload.ram_usage,0.02234437496638841,0.07504299865352214
distance_sensor.current_distance,0.023666489539649987,0.001998129238445316
ekf2_innovations.hagl_innov,0.006203047083444241,0.00496512622756777
ekf2_innovations.heading_innov,0.012452824942215323,0.007860296378116818
ekf2_innovations.output_tracking_error[0],0.008528316713399198,0.008599853898702532
ekf2_innovations.output_tracking_error[1],0.006020125820826954,0.0005783226464139873
ekf2_innovations.output_tracking_error[2],0.009934761034494158,0.0022769833926294036
ekf2_innovations.vel_pos_innov[3],0.013035100370723113,0.016141059106519296
ekf2_innovations.vel_pos_innov[4],0.021108954766997402,0.01461464061967837
ekf2_innovations.vel_pos_innov[5],0.02640378129764984,0.009680881015787072
estimator_status.hagl_test_ratio,0.00528397695829404,0.0028507790297662016
estimator_status.hgt_test_ratio,0.019181060100243747,0.013967478154718223
estimator_status.mag_test_ratio,0.007049158142268311,0.0188302306562073
estimator_status.pos_horiz_accuracy,0.010634589528522637,0.0673947392686265
estimator_status.pos_test_ratio,0.009787528558024186,0.007978402816592699
estimator_status.pos_vert_accuracy,0.010960986892952966,0.020510845544884422
estimator_status.vibe[0],0.0039056897957845146,0.001187291428326249
estimator_status.vibe[1],0.0028357760484156594,0.009246038910368048
estimator_status.vibe[2],0.005072185382367252,0.0022460986635218605
manual_control_setpoint.r,0.0005850528267758825,0.00040474869719309397
manual_control_setpoint.x,0.16487194521732063,0.07075021745773166
manual_control_setpoint.y,0.04402397101355656,0.008269168582550005
manual_control_setpoint.z,0.017878178982233647,0.0035864300334840513
rate_ctrl_status.pitchspeed_integ,0.004024033786364001,0.002348931719911248
rate_ctrl_status.rollspeed_integ,0.0030912571279431383,0.00257573922312678
rate_ctrl_status.yawspeed_integ,0.005190908710192224,0.002489537038710695
sensor_combined.accelerometer_m_s2[0],0.004643974966446803,0.002723640039028155
sensor_combined.accelerometer_m_s2[1],0.004168211079426478,0.003202122166159824
sensor_combined.accelerometer_m_s2[2],0.0024856098035702266,0.002735253335732322
sensor_combined.gyro_rad[0],0.0018354187545230978,4.27483464569903e-05
sensor_combined.gyro_rad[1],0.00139351364585934,0.0003570650537610903
sensor_combined.gyro_rad[2],0.00302760056396623,0.0005104168997971154
sensor_preflight.accel_inconsistency_m_s_s,0.024824371342135585,0.0052164028266567415
sensor_preflight.gyro_inconsistency_rad_s,0.025687897576550107,0.006886315113249689
vehicle_attitude.pitchspeed,0.002057031931320124,0.000818531045224001
vehicle_attitude.q[0],0.008951498576925747,0.0006740127403905783
vehicle_attitude.q[1],0.0060881283053310165,0.0009859947041698622
vehicle_attitude.q[2],0.005704287850716424,0.041908519984440826
vehicle_attitude.q[3],0.0076889316453203444,0.0030250283406081362
vehicle_attitude.rollspeed,0.001210917858859381,0.001036833957532104
vehicle_attitude.yawspeed,0.005876335672911772,0.0011381501031005304
vehicle_attitude_setpoint.pitch_body,0.003316832392144967,0.00498307507765075
vehicle_attitude_setpoint.roll_body,0.0051759452480979115,0.0033990171337459464
vehicle_attitude_setpoint.yaw_body,0.009248543403895389,0.0037830583785231665
vehicle_land_detected.ground_contact,0.0005148786045375089,0.0032528310262292023
vehicle_land_detected.landed,6.936200614420109e-05,6.278227946122542e-05
vehicle_land_detected.maybe_landed,2.74817254841781e-05,0.0
vehicle_local_position.ax,0.0025873972500376733,0.0011785593114167132
vehicle_local_position.ay,0.0045533878683106,0.002337221241595549
vehicle_local_position.az,0.004120755982838022,0.004381835858422577
vehicle_local_position.dist_bottom,0.015123496960047634,0.008741643764539803
vehicle_local_position.dist_bottom_rate,0.011561202667533107,0.004111619676184929
vehicle_local_position.eph,0.06465812122907322,0.04654222870797383
vehicle_local_position.epv,0.02622866908313448,0.006333847063104737
vehicle_local_position.vx,0.003421955771215448,0.0008512039110405143
vehicle_local_position.vy,0.006808675180695256,0.0017546587922460473
vehicle_local_position.vz,0.008051646137419103,0.001441743670791082
vehicle_local_position.x,0.010273965950307407,0.0020679653212441335
vehicle_local_position.y,0.013433519209450774,0.00029995118471266575
vehicle_local_position.z,0.009732620755421632,0.005064174833074954
vehicle_rates_setpoint.pitch,0.0018451541124721784,0.03733351647937642
vehicle_rates_setpoint.roll,0.0013285217339629026,0.0005285306055600974
vehicle_rates_setpoint.yaw,0.004747737887475361,0.002587521383240966
vehicle_status.arming_state,0.0,0.0
vehicle_status.nav_state,0.01275429335870797,0.0019541970535188005
vehicle_vision_position.x,0.02087292930698632,0.002739218605554379
vehicle_vision_position.y,0.033595673095178184,0.056040247950666075
vehicle_vision_position.z,0.014898280672320234,0.003334588764931901
