run_id,replay_done,published_messages,replay_elapsed_s,source_duration_s,sensor_last_s,coverage_ok,exit_code
commander_nav_state_override__2019-01-18__08_39_38__baseline,True,53965,68.816,68.816092,68.781463,True,124
commander_nav_state_override__2019-01-18__08_39_38__fault,True,53965,68.816,68.816092,68.836204,True,124
commander_nav_state_override__2019-01-25__17_38_05__baseline,True,73620,94.302,94.302237,94.329443,True,124
commander_nav_state_override__2019-01-25__17_38_05__fault,True,73620,94.302,94.302237,94.329782,True,124
commander_nav_state_override__2019-03-06__08_02_26__baseline,True,75247,97.848,97.847486,97.829606,True,124
commander_nav_state_override__2019-03-06__08_02_26__fault,True,75247,97.848,97.847486,97.868782,True,124
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,True,53965,68.816,68.816092,68.788286,True,124
ekf2_innovation_bias__2019-01-18__08_39_38__fault,True,53965,68.816,68.816092,68.740594,True,124
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,True,73620,94.302,94.302237,94.246092,True,124
ekf2_innovation_bias__2019-01-25__17_38_05__fault,True,73620,94.302,94.302237,94.243001,True,124
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,True,75247,97.848,97.847486,97.863807,True,124
ekf2_innovation_bias__2019-03-06__08_02_26__fault,True,75247,97.848,97.847486,97.865576,True,124
inav_local_z_freeze__2019-01-18__08_39_38__baseline,True,53965,68.816,68.816092,68.835957,True,124
inav_local_z_freeze__2019-01-18__08_39_38__fault,True,53965,68.816,68.816092,68.83245,True,124
inav_local_z_freeze__2019-01-25__17_38_05__baseline,True,73620,94.302,94.302237,94.326049,True,124
inav_local_z_freeze__2019-01-25__17_38_05__fault,True,73620,94.302,94.302237,94.328638,True,124
inav_local_z_freeze__2019-03-06__08_02_26__baseline,True,75247,97.848,97.847486,97.866449,True,124
inav_local_z_freeze__2019-03-06__08_02_26__fault,True,75247,97.848,97.847486,97.872834,True,124
land_detector_state_inversion__2019-01-18__08_39_38__baseline,True,53965,68.816,68.816092,68.833046,True,124
land_detector_state_inversion__2019-01-18__08_39_38__fault,True,53965,68.816,68.816092,68.823648,True,124
land_detector_state_inversion__2019-01-25__17_38_05__baseline,True,73620,94.302,94.302237,94.328731,True,124
land_detector_state_inversion__2019-01-25__17_38_05__fault,True,73620,94.302,94.302237,94.23791,True,124
land_detector_state_inversion__2019-03-06__08_02_26__baseline,True,75247,97.848,97.847486,97.867688,True,124
land_detector_state_inversion__2019-03-06__08_02_26__fault,True,75247,97.848,97.847486,97.744408,True,124
