run_id,condition,windows,start_us,duration_s,score_min,score_median,score_max,feature_finite,zero_feature_fraction,missing_topics
commander_nav_state_override__2019-01-18__08_39_38__baseline,baseline,73,1754,68.781463,0.0015469830226499516,0.03418716766141944,0.9816830598983469,True,0.03045889536206022,
commander_nav_state_override__2019-01-18__08_39_38__fault,fault,93,2085,84.753027,0.0004644597826514112,0.033046522124189764,0.982167312797904,True,0.05249316799187025,
commander_nav_state_override__2019-01-25__17_38_05__baseline,baseline,120,2048,106.334424,0.0002757703835514361,0.013199303815643656,0.49458067005840756,True,0.03216262239250745,
commander_nav_state_override__2019-01-25__17_38_05__fault,fault,124,2690,109.746979,0.00027330076191324916,0.014028074318016677,0.4899106301107962,True,0.04167181642153833,
commander_nav_state_override__2019-03-06__08_02_26__baseline,baseline,109,2040,97.829791,0.0011014272428903665,0.013666588364976338,0.7921625893274801,True,0.0289816865267672,
commander_nav_state_override__2019-03-06__08_02_26__fault,fault,131,2169,114.753785,0.00014258850670838746,0.004422355238153519,0.7305564813467841,True,0.04827781189981769,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,baseline,73,1569,68.788286,0.0016068851926490013,0.11566486301294275,0.7542381558021756,True,0.0765583722598366,
ekf2_innovation_bias__2019-01-18__08_39_38__fault,fault,73,1148,68.740594,0.001998178745871388,0.17348029628403483,0.7387770685248574,True,0.07982120051085569,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,baseline,105,1788,94.246649,0.0012215828243421645,0.012409979535723873,0.10681499639413722,True,0.07354497354497354,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,fault,105,2213,94.243146,0.0010678469852432068,0.02218866015366518,0.10669138460516121,True,0.07570394696831478,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,baseline,109,1341,97.863946,0.001373436744344783,0.010257826123341909,0.696972392213094,True,0.0803015923231045,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,fault,109,1834,97.865576,0.0023020472030881437,0.01313585001778458,0.685980346526537,True,0.08091086974351765,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,baseline,91,1439,83.068516,0.0038306374055091514,0.05332945462194489,0.8811179898708336,True,0.06703577393232565,
inav_local_z_freeze__2019-01-18__08_39_38__fault,fault,90,1348,82.661257,0.0035422221080487503,0.04971130681050728,0.8884753592753186,True,0.06706399886476515,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,baseline,123,1991,108.550555,0.000789227599075206,0.023692005763638488,0.7778743606458572,True,0.06297957615591482,
inav_local_z_freeze__2019-01-25__17_38_05__fault,fault,123,1954,108.854327,0.0008433711309422833,0.024649428488961584,0.8071354010882114,True,0.06549751321268002,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,baseline,129,1661,113.837909,0.0005699690320333418,0.008369929286619896,0.7816124750113806,True,0.06628253487382063,
inav_local_z_freeze__2019-03-06__08_02_26__fault,fault,129,1528,113.827708,0.0005068724961107898,0.00809004581675216,0.7806162460538634,True,0.06892591602562198,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,baseline,91,4068,82.945791,0.0004644597826514112,0.03610014102619024,0.9841882725403476,True,0.04481214826042412,
land_detector_state_inversion__2019-01-18__08_39_38__fault,fault,73,3780,68.823648,0.0014713484201843185,0.035873791123971654,0.9807384044745541,True,0.030152731853251458,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,baseline,121,4986,107.118892,0.0002757703835514361,0.011138776089147673,0.5514075137485206,True,0.0344141519690109,
land_detector_state_inversion__2019-01-25__17_38_05__fault,fault,105,5069,94.239755,0.00047950945969632596,0.023144594985061853,0.46204303695117366,True,0.0224229155263638,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,baseline,130,3962,113.977088,0.00013376843919574126,0.003056375919075718,0.6917251349673466,True,0.045230376264859026,
land_detector_state_inversion__2019-03-06__08_02_26__fault,fault,109,4488,97.744901,0.00024118208939949236,0.0029195259729305574,0.713852778779849,True,0.028507153151253118,
