run_id,topic,samples,valid_samples,first_s,last_s,missing_channels
commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_controls_0,666,666,1.241712,68.737671,
commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_outputs,665,665,1.212022,68.699959,
commander_nav_state_override__2019-01-18__08_39_38__baseline,battery_status,135,135,0.997339,68.281943,
commander_nav_state_override__2019-01-18__08_39_38__baseline,cpuload,68,68,1.112395,68.56125,
commander_nav_state_override__2019-01-18__08_39_38__baseline,distance_sensor,664,664,1.266659,68.769251,
commander_nav_state_override__2019-01-18__08_39_38__baseline,ekf2_innovations,333,333,1.109845,68.694352,
commander_nav_state_override__2019-01-18__08_39_38__baseline,estimator_status,333,333,1.109845,68.506009,
commander_nav_state_override__2019-01-18__08_39_38__baseline,manual_control_setpoint,333,333,1.103219,68.699097,
commander_nav_state_override__2019-01-18__08_39_38__baseline,rate_ctrl_status,2124,2124,1.301661,68.761664,
commander_nav_state_override__2019-01-18__08_39_38__baseline,sensor_combined,16823,16823,1.329463,68.781463,
commander_nav_state_override__2019-01-18__08_39_38__baseline,sensor_preflight,6,6,0.001812,68.638746,
commander_nav_state_override__2019-01-18__08_39_38__baseline,system_power,135,135,1.004405,68.284423,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_attitude,2055,2055,1.333981,68.753882,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_attitude_setpoint,663,663,1.31456,68.678541,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_land_detected,70,70,1.04235,67.831604,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_local_position,664,664,1.313978,68.765968,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_rates_setpoint,2121,2121,1.365593,68.777596,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_status,73,73,0.014652,68.50709,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_status_flags,140,140,0.002578,68.507093,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_vision_position,1305,1305,1.35931,68.716647,
commander_nav_state_override__2019-01-18__08_39_38__fault,actuator_controls_0,667,667,1.248453,68.836379,
commander_nav_state_override__2019-01-18__08_39_38__fault,actuator_outputs,666,666,1.218763,68.814706,
commander_nav_state_override__2019-01-18__08_39_38__fault,battery_status,136,136,1.00408,68.792636,
commander_nav_state_override__2019-01-18__08_39_38__fault,cpuload,68,68,1.119136,68.567991,
commander_nav_state_override__2019-01-18__08_39_38__fault,distance_sensor,664,664,1.2734,68.775992,
commander_nav_state_override__2019-01-18__08_39_38__fault,ekf2_innovations,333,333,1.116586,68.701093,
commander_nav_state_override__2019-01-18__08_39_38__fault,estimator_status,334,334,1.116586,68.712631,
commander_nav_state_override__2019-01-18__08_39_38__fault,manual_control_setpoint,333,333,1.10996,68.705838,
commander_nav_state_override__2019-01-18__08_39_38__fault,rate_ctrl_status,2127,2127,1.308402,68.832469,
commander_nav_state_override__2019-01-18__08_39_38__fault,sensor_combined,16841,16841,1.336204,68.836204,
commander_nav_state_override__2019-01-18__08_39_38__fault,sensor_preflight,6,6,0.008553,68.645487,
commander_nav_state_override__2019-01-18__08_39_38__fault,system_power,136,136,1.011146,68.791146,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_attitude,2059,2059,1.340722,68.820629,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_attitude_setpoint,664,664,1.321301,68.773186,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_land_detected,70,70,1.049091,67.838345,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_local_position,664,664,1.320719,68.772709,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_rates_setpoint,2123,2123,1.372334,68.816347,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_status,4281,4281,0.021339,84.753023,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_status_flags,4339,4339,0.009319,84.753027,
commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_vision_position,1307,1307,1.366051,68.797246,
commander_nav_state_override__2019-01-25__17_38_05__baseline,actuator_controls_0,918,918,1.252749,94.329614,
commander_nav_state_override__2019-01-25__17_38_05__baseline,actuator_outputs,917,917,1.179331,94.212031,
commander_nav_state_override__2019-01-25__17_38_05__baseline,battery_status,187,187,0.965071,94.23784,
commander_nav_state_override__2019-01-25__17_38_05__baseline,cpuload,94,94,0.886619,94.136853,
commander_nav_state_override__2019-01-25__17_38_05__baseline,distance_sensor,916,916,1.25189,94.203915,
commander_nav_state_override__2019-01-25__17_38_05__baseline,ekf2_innovations,459,459,1.28158,94.250006,
commander_nav_state_override__2019-01-25__17_38_05__baseline,estimator_status,459,459,1.28158,94.250006,
commander_nav_state_override__2019-01-25__17_38_05__baseline,manual_control_setpoint,459,459,1.274116,94.2589,
commander_nav_state_override__2019-01-25__17_38_05__baseline,rate_ctrl_status,2941,2941,1.324811,94.305618,
commander_nav_state_override__2019-01-25__17_38_05__baseline,sensor_combined,23230,23230,1.340642,94.329443,
commander_nav_state_override__2019-01-25__17_38_05__baseline,sensor_preflight,6,6,0.013215,94.142807,
commander_nav_state_override__2019-01-25__17_38_05__baseline,system_power,187,187,0.961982,94.251983,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_attitude,2938,2938,1.353087,94.314026,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_attitude_setpoint,916,916,1.286614,94.250659,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_land_detected,94,94,1.346844,93.918844,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_local_position,916,916,1.285027,94.277855,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_rates_setpoint,2934,2934,1.388865,94.313558,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_status,110,110,0.027885,106.33442,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_status_flags,193,193,0.015289,106.334424,
commander_nav_state_override__2019-01-25__17_38_05__baseline,vehicle_vision_position,1882,1882,1.394373,94.316347,
commander_nav_state_override__2019-01-25__17_38_05__fault,actuator_controls_0,919,919,1.245085,94.329953,
commander_nav_state_override__2019-01-25__17_38_05__fault,actuator_outputs,917,917,1.17967,94.21237,
commander_nav_state_override__2019-01-25__17_38_05__fault,battery_status,187,187,0.96541,94.238179,
commander_nav_state_override__2019-01-25__17_38_05__fault,cpuload,94,94,0.886958,94.137192,
commander_nav_state_override__2019-01-25__17_38_05__fault,distance_sensor,916,916,1.252229,94.204254,
commander_nav_state_override__2019-01-25__17_38_05__fault,ekf2_innovations,459,459,1.077501,94.250345,
commander_nav_state_override__2019-01-25__17_38_05__fault,estimator_status,459,459,1.281919,94.250345,
commander_nav_state_override__2019-01-25__17_38_05__fault,manual_control_setpoint,459,459,1.274455,94.259239,
commander_nav_state_override__2019-01-25__17_38_05__fault,rate_ctrl_status,2941,2941,1.32515,94.305957,
commander_nav_state_override__2019-01-25__17_38_05__fault,sensor_combined,23229,23229,1.332957,94.329782,
commander_nav_state_override__2019-01-25__17_38_05__fault,sensor_preflight,6,6,0.013554,94.143146,
commander_nav_state_override__2019-01-25__17_38_05__fault,system_power,187,187,0.962321,94.252322,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_attitude,2939,2939,1.325455,94.314365,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_attitude_setpoint,916,916,1.286953,94.250998,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_land_detected,94,94,1.347183,93.919183,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_local_position,916,916,1.285366,94.278194,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_rates_setpoint,2935,2935,1.357147,94.313897,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_status,7944,7944,0.021664,109.746975,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_status_flags,8015,8015,0.015628,109.746979,
commander_nav_state_override__2019-01-25__17_38_05__fault,vehicle_vision_position,1884,1884,1.363233,94.316686,
commander_nav_state_override__2019-03-06__08_02_26__baseline,actuator_controls_0,952,952,1.244222,97.773831,
commander_nav_state_override__2019-03-06__08_02_26__baseline,actuator_outputs,951,951,1.154264,97.779847,
commander_nav_state_override__2019-03-06__08_02_26__baseline,battery_status,193,193,0.852448,97.27805,
commander_nav_state_override__2019-03-06__08_02_26__baseline,cpuload,97,97,0.75457,97.043599,
commander_nav_state_override__2019-03-06__08_02_26__baseline,distance_sensor,951,951,1.253668,97.776325,
commander_nav_state_override__2019-03-06__08_02_26__baseline,ekf2_innovations,476,476,1.168534,97.578208,
commander_nav_state_override__2019-03-06__08_02_26__baseline,estimator_status,476,476,1.168534,97.578208,
commander_nav_state_override__2019-03-06__08_02_26__baseline,manual_control_setpoint,476,476,1.153474,97.603046,
commander_nav_state_override__2019-03-06__08_02_26__baseline,rate_ctrl_status,3054,3054,1.312245,97.829791,
commander_nav_state_override__2019-03-06__08_02_26__baseline,sensor_combined,24100,24100,1.332016,97.829606,
commander_nav_state_override__2019-03-06__08_02_26__baseline,sensor_preflight,6,6,0.000944,97.678689,
commander_nav_state_override__2019-03-06__08_02_26__baseline,system_power,193,193,0.859318,97.29932,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_attitude,3053,3053,1.344499,97.822418,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_attitude_setpoint,951,951,1.273258,97.818499,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_land_detected,97,97,1.045739,97.463263,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_local_position,950,950,1.372882,97.805986,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_rates_setpoint,3048,3048,1.372229,97.821766,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_status,106,106,0.015352,96.8592,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_status_flags,204,204,0.002789,96.867346,
commander_nav_state_override__2019-03-06__08_02_26__baseline,vehicle_vision_position,959,959,1.358754,97.750109,
commander_nav_state_override__2019-03-06__08_02_26__fault,actuator_controls_0,953,953,1.247398,97.868921,
commander_nav_state_override__2019-03-06__08_02_26__fault,actuator_outputs,951,951,1.15744,97.783023,
commander_nav_state_override__2019-03-06__08_02_26__fault,battery_status,194,194,0.855624,97.785205,
commander_nav_state_override__2019-03-06__08_02_26__fault,cpuload,97,97,0.757746,97.046775,
commander_nav_state_override__2019-03-06__08_02_26__fault,distance_sensor,951,951,1.256844,97.779501,
commander_nav_state_override__2019-03-06__08_02_26__fault,ekf2_innovations,477,477,1.17171,97.785307,
commander_nav_state_override__2019-03-06__08_02_26__fault,estimator_status,477,477,1.17171,97.785307,
commander_nav_state_override__2019-03-06__08_02_26__fault,manual_control_setpoint,477,477,1.15665,97.806221,
commander_nav_state_override__2019-03-06__08_02_26__fault,rate_ctrl_status,3055,3055,1.315421,97.865053,
commander_nav_state_override__2019-03-06__08_02_26__fault,sensor_combined,24112,24112,1.335192,97.868782,
commander_nav_state_override__2019-03-06__08_02_26__fault,sensor_preflight,6,6,0.00412,97.681865,
commander_nav_state_override__2019-03-06__08_02_26__fault,system_power,194,194,0.862494,97.802495,
commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_attitude,3054,3054,1.347675,97.857352,
commander_nav_state_override__2019-03-06__08_02_26__fault,vehicle_attitude_setpoint,951,951,1.276434,97.821675,
