mode,run_id,source_log,condition,mutation_id,threshold,any_alarm,pre_onset_alarm,detected,detection_delay_s,fresh_post_windows,gated_windows,ground_truth_rank,top1,top3,top5,mrr
fixed_all,commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,baseline,commander_nav_state_override,0.3374776883274057,False,False,False,,66,0,,0.0,0.0,0.0,0.0
fixed_all,commander_nav_state_override__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,commander_nav_state_override,0.3374776883274057,False,False,False,,67,0,,0.0,0.0,0.0,0.0
fixed_all,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,baseline,ekf2_innovation_bias,0.3374776883274057,False,False,False,,67,0,,0.0,0.0,0.0,0.0
fixed_all,ekf2_innovation_bias__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,ekf2_innovation_bias,0.3374776883274057,False,False,False,,67,0,,0.0,0.0,0.0,0.0
fixed_all,inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,baseline,inav_local_z_freeze,0.3374776883274057,False,False,False,,67,0,,0.0,0.0,0.0,0.0
fixed_all,inav_local_z_freeze__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,inav_local_z_freeze,0.3374776883274057,False,False,False,,67,0,,0.0,0.0,0.0,0.0
fixed_all,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,baseline,land_detector_state_inversion,0.3374776883274057,False,False,False,,67,0,,0.0,0.0,0.0,0.0
fixed_all,land_detector_state_inversion__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,land_detector_state_inversion,0.3374776883274057,False,False,False,,66,0,,0.0,0.0,0.0,0.0
fixed_all,commander_nav_state_override__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,baseline,commander_nav_state_override,0.3374776883274057,False,False,False,,97,0,,0.0,0.0,0.0,0.0
fixed_all,commander_nav_state_override__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,commander_nav_state_override,0.3374776883274057,False,False,False,,98,0,,0.0,0.0,0.0,0.0
