run_id,condition,windows,start_us,duration_s,score_min,score_median,score_max,feature_finite,zero_feature_fraction,missing_topics
commander_nav_state_override__2019-01-18__08_39_38__baseline,baseline,92,1706,83.654788,0.00037659621347585807,0.00037659621347585807,0.00257419674525995,True,0.29202065633849744,
commander_nav_state_override__2019-01-18__08_39_38__fault,fault,93,1825,84.983389,0.0004261428378794045,0.0004261428378794045,0.002104974377226005,True,0.2807371702440297,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,baseline,93,1557,84.825382,0.0002178294530220687,0.00023106639289350117,0.0035522106437958626,True,0.2883656737939274,
ekf2_innovation_bias__2019-01-18__08_39_38__fault,fault,93,2897,84.768758,0.00021633845882507394,0.00025229965584549243,0.002677060312037681,True,0.2877683022288139,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,baseline,93,1612,84.709051,0.00046015585490409144,0.0009007883292900123,0.03703700414535507,True,0.28377209244839946,
inav_local_z_freeze__2019-01-18__08_39_38__fault,fault,93,1307,84.514961,0.0005376533490279495,0.0008175491927589851,0.041404104017324694,True,0.283737760749255,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,baseline,93,3860,84.954116,0.0005388289533577879,0.0005388289533577879,0.0025902199035494696,True,0.28698553948832034,
land_detector_state_inversion__2019-01-18__08_39_38__fault,fault,92,3514,84.229656,0.0007107217612583956,0.0007107217612583956,0.0041217988437324046,True,0.2815328446887667,
commander_nav_state_override__2019-01-25__17_38_05__baseline,baseline,123,24253,108.985811,0.00028810711670221263,0.00028810711670221263,0.005833739890018299,True,0.29574598427976617,
commander_nav_state_override__2019-01-25__17_38_05__fault,fault,124,11462,109.87867,0.00019707797591638607,0.00019707797591638607,0.004558535071276455,True,0.2928768590615087,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,baseline,124,22143,109.467863,0.00013304549591273697,0.00013304549591273697,0.011996739366267604,True,0.27853994149878464,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,fault,124,34865,109.459256,0.00020446652079554887,0.00020446652079554887,0.03222980438286308,True,0.2825979483376591,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,baseline,124,28287,109.764277,0.0006097714071840586,0.0011894519807557997,0.04012539136059227,True,0.2794462983561982,
inav_local_z_freeze__2019-01-25__17_38_05__fault,fault,124,31248,109.549014,0.00042378900241165675,0.0005166292069303817,0.033809670519408384,True,0.2817791373130639,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,baseline,125,26647,109.921714,0.0001813864240432882,0.0001813864240432882,0.015367050931857697,True,0.2728684546615581,
land_detector_state_inversion__2019-01-25__17_38_05__fault,fault,124,92244,109.220318,0.0002141240602442063,0.0002141240602442063,0.015701491233605435,True,0.279775882667985,
commander_nav_state_override__2019-03-06__08_02_26__baseline,baseline,130,11487,114.41956,0.0004841898972177069,0.0004841898972177069,0.009907350690423153,True,0.2851851851851852,
commander_nav_state_override__2019-03-06__08_02_26__fault,fault,131,11006,114.833568,0.00021457018243771476,0.00021457018243771476,0.006198700419577708,True,0.29306932623594906,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,baseline,130,17233,114.559876,0.00019384799056657395,0.00019384799056657395,0.0027207684718110483,True,0.29045584045584044,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,fault,130,9991,114.514672,0.0002256294619201293,0.0002256294619201293,0.005380215114302193,True,0.2826849395814913,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,baseline,131,15916,114.750813,0.0003910779904609586,0.0006305068973751313,0.025892906284615193,True,0.2753843604067347,
inav_local_z_freeze__2019-03-06__08_02_26__fault,fault,131,12567,114.757597,0.0006396500788889809,0.0008400809004239095,0.024148561781700557,True,0.28219901923508134,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,baseline,131,15960,114.751371,0.000254507358773847,0.000254507358773847,0.002272561803620042,True,0.28073664609595117,
land_detector_state_inversion__2019-03-06__08_02_26__fault,fault,130,19938,114.335525,0.0001717329979584201,0.0001717329979584201,0.0016718198666862121,True,0.2910403772472738,
