run_id,topic,samples,valid_samples,first_s,last_s,missing_channels
commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_controls_0,454,454,0.812222,10.894678,
commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_outputs,103,103,0.514611,10.885012,
commander_nav_state_override__2019-01-18__08_39_38__baseline,battery_status,21,21,0.528459,10.550876,
commander_nav_state_override__2019-01-18__08_39_38__baseline,cpuload,11,11,0.135102,10.16966,
commander_nav_state_override__2019-01-18__08_39_38__baseline,distance_sensor,103,103,0.478653,10.901812,
commander_nav_state_override__2019-01-18__08_39_38__baseline,ekf2_innovations,51,51,0.72904,10.843298,
commander_nav_state_override__2019-01-18__08_39_38__baseline,estimator_status,51,51,0.72904,10.85492,
commander_nav_state_override__2019-01-18__08_39_38__baseline,manual_control_setpoint,52,52,0.513816,10.839874,
commander_nav_state_override__2019-01-18__08_39_38__baseline,rate_ctrl_status,326,326,0.528194,10.88263,
commander_nav_state_override__2019-01-18__08_39_38__baseline,sensor_combined,2201,2201,0.528053,10.906422,
commander_nav_state_override__2019-01-18__08_39_38__baseline,sensor_preflight,1,1,0.025202,0.025202,
commander_nav_state_override__2019-01-18__08_39_38__baseline,system_power,21,21,0.527808,10.557801,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_attitude,310,310,0.821103,10.88688,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_attitude_setpoint,99,99,0.829523,10.807778,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_land_detected,11,11,0.054853,10.173773,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_local_position,100,100,0.828509,10.907107,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_rates_setpoint,326,326,0.528164,10.886538,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_status,87,87,0.023536,83.654786,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_status_flags,99,99,0.023542,83.654788,
commander_nav_state_override__2019-01-18__08_39_38__baseline,vehicle_vision_position,198,198,0.485123,10.872646,
commander_nav_state_override__2019-01-18__08_39_38__fault,actuator_controls_0,510,510,0.682915,12.865286,
commander_nav_state_override__2019-01-18__08_39_38__fault,actuator_outputs,121,121,0.629158,12.823543,
commander_nav_state_override__2019-01-18__08_39_38__fault,battery_status,25,25,0.531094,12.569727,
commander_nav_state_override__2019-01-18__08_39_38__fault,cpuload,13,13,0.137737,12.176386,
commander_nav_state_override__2019-01-18__08_39_38__fault,distance_sensor,120,120,0.684405,12.799195,
commander_nav_state_override__2019-01-18__08_39_38__fault,ekf2_innovations,62,62,0.531194,12.87759,
commander_nav_state_override__2019-01-18__08_39_38__fault,estimator_status,62,62,0.531194,12.881636,
